Domain,Price CAD,Premium,Decision,Priority,Rationale
futurestate.so,88.97,,DEFER,P3,"Standard price (C$88.97) — no clear fit, defer."
futurestate.soccer,37.63,,DEFER,P3,"Standard price (C$37.63) — no clear fit, defer."
futurestate.social,5.45,,DEFER,P3,Social defensive — defer.
futurestate.software,16.40,,DEFER,P3,"Standard price (C$16.40) — no clear fit, defer."
futurestate.solar,93.08,,DEFER,P3,"Standard price (C$93.08) — no clear fit, defer."
futurestate.solutions,12.30,,DEFER,P3,Generic — defer.
futurestate.soy,39.68,,DEFER,P3,"Standard price (C$39.68) — no clear fit, defer."
futurestate.spot,23.93,,DEFER,P3,"Standard price (C$23.93) — no clear fit, defer."
futurestate.style,10.93,,DEFER,P3,"Standard price (C$10.93) — no clear fit, defer."
futurestate.supplies,34.89,,DEFER,P3,"Standard price (C$34.89) — no clear fit, defer."
futurestate.supply,37.63,,DEFER,P3,"Standard price (C$37.63) — no clear fit, defer."
futurestate.support,6.82,,DEFER,P3,"Standard price (C$6.82) — no clear fit, defer."
futurestate.surgery,79.39,,DEFER,P3,"Standard price (C$79.39) — no clear fit, defer."
futurestate.sydney,61.59,,DEFER,P3,"Standard price (C$61.59) — no clear fit, defer."
futurestate.talk,34.20,,DEFER,P3,"Standard price (C$34.20) — no clear fit, defer."
futurestate.tax,12.30,,DEFER,P3,"Standard price (C$12.30) — no clear fit, defer."
futurestate.taxi,12.30,,DEFER,P3,"Standard price (C$12.30) — no clear fit, defer."
futurestate.team,4.08,,DEFER,P3,Cheap (C$4.08) — could grab but no clear fit. Defer to next batch.
futurestate.technology,5.45,,DEFER,P3,"Standard price (C$5.45) — no clear fit, defer."
futurestate.tel,15.03,,DEFER,P3,"Standard price (C$15.03) — no clear fit, defer."
futurestate.tennis,93.08,,DEFER,P3,"Standard price (C$93.08) — no clear fit, defer."
futurestate.theater,93.08,,DEFER,P3,"Standard price (C$93.08) — no clear fit, defer."
futurestate.tienda,86.24,,DEFER,P3,"Standard price (C$86.24) — no clear fit, defer."
futurestate.tips,17.77,,DEFER,P3,"Standard price (C$17.77) — no clear fit, defer."
futurestate.tires,120.47,,DEFER,P3,"Standard price (C$120.47) — no clear fit, defer."
futurestate.to,41.05,,DEFER,P3,"Standard price (C$41.05) — no clear fit, defer."
futurestate.today,4.08,,DEFER,P3,Today defensive — defer.
futurestate.tokyo,23.25,,DEFER,P3,"Standard price (C$23.25) — no clear fit, defer."
futurestate.tools,21.88,,DEFER,P3,"Standard price (C$21.88) — no clear fit, defer."
futurestate.top,4.08,,DEFER,P3,Cheap (C$4.08) — could grab but no clear fit. Defer to next batch.
futurestate.tours,8.19,,DEFER,P3,"Standard price (C$8.19) — no clear fit, defer."
futurestate.town,9.56,,DEFER,P3,"Standard price (C$9.56) — no clear fit, defer."
futurestate.toys,16.40,,DEFER,P3,"Standard price (C$16.40) — no clear fit, defer."
futurestate.training,12.30,,DEFER,P3,Training defensive — defer.
futurestate.travel,32.83,,DEFER,P3,"Standard price (C$32.83) — no clear fit, defer."
futurestate.uk.com,43.79,,DEFER,P3,"Standard price (C$43.79) — no clear fit, defer."
futurestate.uk.net,43.79,,DEFER,P3,"Standard price (C$43.79) — no clear fit, defer."
futurestate.university,90.34,,DEFER,P3,University defensive — defer.
futurestate.uno,6.82,,DEFER,P3,"Standard price (C$6.82) — no clear fit, defer."
futurestate.us.com,27.36,,DEFER,P3,"Standard price (C$27.36) — no clear fit, defer."
futurestate.us.org,27.36,,DEFER,P3,"Standard price (C$27.36) — no clear fit, defer."
futurestate.vacations,56.11,,DEFER,P3,"Standard price (C$56.11) — no clear fit, defer."
futurestate.vegas,27.36,,DEFER,P3,"Standard price (C$27.36) — no clear fit, defer."
futurestate.vet,60.22,,DEFER,P3,"Standard price (C$60.22) — no clear fit, defer."
futurestate.viajes,60.22,,DEFER,P3,"Standard price (C$60.22) — no clear fit, defer."
futurestate.video,6.82,,DEFER,P3,"Standard price (C$6.82) — no clear fit, defer."
futurestate.vin,9.56,,DEFER,P3,"Standard price (C$9.56) — no clear fit, defer."
futurestate.vote,32.83,,DEFER,P3,"Standard price (C$32.83) — no clear fit, defer."
futurestate.voto,16.40,,DEFER,P3,"Standard price (C$16.40) — no clear fit, defer."
futurestate.voyage,84.87,,DEFER,P3,"Standard price (C$84.87) — no clear fit, defer."
futurestate.wales,17.77,,DEFER,P3,"Standard price (C$17.77) — no clear fit, defer."
futurestate.watch,4.77,,DEFER,P3,Cheap (C$4.77) — could grab but no clear fit. Defer to next batch.
futurestate.wine,10.93,,DEFER,P3,"Standard price (C$10.93) — no clear fit, defer."
futurestate.works,5.45,,DEFER,P3,"Standard price (C$5.45) — no clear fit, defer."
futurestate.ws,16.40,,DEFER,P3,"Standard price (C$16.40) — no clear fit, defer."
futurestate.wtf,4.08,,DEFER,P3,Cheap (C$4.08) — could grab but no clear fit. Defer to next batch.
futurestate.xn--6frz82g,20.51,,DEFER,P3,"Standard price (C$20.51) — no clear fit, defer."
futurestate.yokohama,23.25,,DEFER,P3,"Standard price (C$23.25) — no clear fit, defer."
futurestate.you,21.88,,DEFER,P3,"Standard price (C$21.88) — no clear fit, defer."
futurestate.za.com,50.63,,DEFER,P3,"Standard price (C$50.63) — no clear fit, defer."
futurestate.zip,17.77,,DEFER,P3,"Standard price (C$17.77) — no clear fit, defer."
futurestate.zone,12.30,,DEFER,P3,"Standard price (C$12.30) — no clear fit, defer."
futurestate.ai,27097.52,premium,KILL,DNF,Premium (C$27098) with no clear ecosystem fit.
futurestate.airforce,150.59,,KILL,DNF,Military niche — brand-unclear.
futurestate.army,18.46,,KILL,DNF,Military niche — brand-unclear.
futurestate.art,5.45,,KILL,DNF,Art-specific — wrong vertical.
futurestate.audio,149.22,,KILL,DNF,Premium for low-fit vertical.
futurestate.auto,2834.35,,KILL,DNF,Automotive — wrong vertical for FutureState (Pink Slip City covers).
futurestate.autos,2.46,,KILL,DNF,Automotive — wrong vertical for FutureState (Pink Slip City covers).
futurestate.baby,2.46,,KILL,DNF,Personal-care niche — wrong vertical.
futurestate.beauty,2.46,,KILL,DNF,Personal-care niche — wrong vertical.
futurestate.bike,8.19,,KILL,DNF,Vehicle niche — wrong vertical.
futurestate.boats,2.46,,KILL,DNF,Vehicle niche — wrong vertical.
futurestate.bond,2.19,,KILL,DNF,Low-trust TLD.
futurestate.cam,4.08,,KILL,DNF,Adult content — institutional-brand kill (FutureState investor-facing).
futurestate.car,2834.35,,KILL,DNF,Automotive — wrong vertical for FutureState (Pink Slip City covers).
futurestate.cars,2834.35,,KILL,DNF,Automotive — wrong vertical for FutureState (Pink Slip City covers).
futurestate.cfd,1.90,,KILL,DNF,Low-trust TLD.
futurestate.cheap,8.19,,KILL,DNF,Brand-negative — DO NOT acquire.
futurestate.christmas,2.46,,KILL,DNF,Holiday-niche — no fit.
futurestate.church,16.40,,KILL,DNF,Religious-specific — secular brand conflict.
futurestate.country,3146.54,,KILL,DNF,$3146 premium — no fit.
futurestate.creditcard,214.95,,KILL,DNF,Premium (C$215) with no clear ecosystem fit.
futurestate.cyou,1.90,,KILL,DNF,Low-trust TLD.
futurestate.dealer,681.89,,KILL,DNF,"$681 premium — automotive/dealer connotation, brand confusion."
futurestate.fail,56.11,,KILL,DNF,Brand-negative — DO NOT acquire.
futurestate.fun,5.45,,KILL,DNF,Fun — wrong tone for institutional RE.
futurestate.game,425.81,,KILL,DNF,Premium (C$426) with no clear ecosystem fit.
futurestate.gg,94.45,,KILL,DNF,Gaming TLD — wrong vertical.
futurestate.guru,4.08,,KILL,DNF,Cultural niche — no fit for institutional RE venture.
futurestate.hair,2.46,,KILL,DNF,Personal-care niche — wrong vertical.
futurestate.hiphop,35.57,,KILL,DNF,Cultural niche — no fit for institutional RE venture.
futurestate.hosting,425.81,,KILL,DNF,Premium (C$426) with no clear ecosystem fit.
futurestate.juegos,505.23,,KILL,DNF,Spanish gaming — wrong vertical.
futurestate.lol,2.46,,KILL,DNF,Cultural niche — no fit for institutional RE venture.
futurestate.makeup,2.46,,KILL,DNF,Personal-care niche — wrong vertical.
futurestate.meme,17.77,,KILL,DNF,Cultural niche — no fit for institutional RE venture.
futurestate.mom,2.46,,KILL,DNF,Cultural niche — no fit for institutional RE venture.
futurestate.monster,2.46,,KILL,DNF,Cultural niche — no fit for institutional RE venture.
futurestate.motorcycles,2.46,,KILL,DNF,Vehicle niche — wrong vertical.
futurestate.navy,60.22,,KILL,DNF,Military niche — brand-unclear.
futurestate.new,669.54,,KILL,DNF,$669 premium for generic word.
futurestate.ninja,16.40,,KILL,DNF,Cultural niche — no fit for institutional RE venture.
futurestate.protection,2834.35,,KILL,DNF,$2834 premium — no clear FutureState fit; brand-risk overpromise.
futurestate.rest,2.46,,KILL,DNF,Rest TLD — no fit.
futurestate.sbs,2.11,,KILL,DNF,Low-trust TLD.
futurestate.security,2834.35,,KILL,DNF,$2834 premium — no clear FutureState fit; brand-risk overpromise.
futurestate.sexy,4105.02,,KILL,DNF,Adult content — institutional-brand kill (FutureState investor-facing).
futurestate.skin,2.46,,KILL,DNF,Personal-care niche — wrong vertical.
futurestate.storage,738.00,,KILL,DNF,$738 premium — no fit (Cliff Bay isn't storage).
futurestate.theatre,738.00,,KILL,DNF,$738 premium — no fit.
futurestate.tickets,539.46,,KILL,DNF,$539 premium — wrong vertical.
futurestate.vana,3146.54,,KILL,DNF,$3146 niche TLD — no fit.
futurestate.yachts,2.46,,KILL,DNF,Vehicle niche — wrong vertical.
