Domain,Class,Category,Scope,Status,Routing,Intended Use,Product Owner,Holding Entity,Registrar,Renewal Date,TM Priority,TM Status,Patent-Adjacent,Interconnectivity Dependencies,Notes
mcv.shopping,Sub-Venture,Consumer shopping under mcv.store umbrella.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Consumer shopping under mcv.store umbrella.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$40.94 sale / C$40.94 list
mcv.so,Defensive,Short ccTLD — link-shortener defensive.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Short ccTLD — link-shortener defensive.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$88.74 sale / C$88.74 list
mcv.tickets,Platform,Event ticketing — WarForge tournaments + mcv.events integrat,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Event ticketing — WarForge tournaments + mcv.events integration.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$538.05 sale / C$585.85 list
mcv.tools,Sub-Venture,Developer tools + Citizen utilities.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Developer tools + Citizen utilities.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$21.82 sale / C$52.55 list
mcv.university,Sacred-Floor,Mastery-tier learning — adult continuing-education complemen,Universal,ACQUIRE-PENDING,N/A (acquire from cart),Mastery-tier learning — adult continuing-education complement.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$90.11 sale / C$90.11 list
mcv.vet,Sub-Venture,Veterinary care + Citizen-pet OS.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Veterinary care + Citizen-pet OS.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$60.06 sale / C$60.06 list
mcv.video,Sub-Venture,Already listed — keep.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Already listed — keep.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$63.09 sale / C$63.09 list
mcv.villas,Sub-Venture,Premium residential — Cliff Bay tier + Muskoka resort.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Premium residential — Cliff Bay tier + Muskoka resort.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$86.01 sale / C$86.01 list
mcv.yoga,Platform,Wellness sub-vertical under mcv.fit umbrella.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Wellness sub-vertical under mcv.fit umbrella.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$76.48 sale / C$76.48 list
mcv.enterprises,Defensive,Defensive corporate variant — low priority.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Defensive corporate variant — low priority.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P3,Not-filed,No,TBD,C$12.95 sale / C$47.77 list
mcv.forsale,Defensive,Defensive for marketplace surfaces.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Defensive for marketplace surfaces.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P3,Not-filed,No,TBD,C$16.36 sale / C$52.55 list
mcv.gifts,Defensive,Plural defensive for mcv.gift.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Plural defensive for mcv.gift.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P3,Not-filed,No,TBD,C$52.55 sale / C$52.55 list
mcv.immobilien,Defensive,Long-form German RE — defer or kill if budget-constrained.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Long-form German RE — defer or kill if budget-constrained.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P3,Not-filed,No,TBD,C$54.60 sale / C$54.60 list
mcv.solutions,Defensive,Generic B2B surface — defensive only.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Generic B2B surface — defensive only.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P3,Not-filed,No,TBD,C$12.26 sale / C$45.04 list
